Gene Population n BasePairs PerVar
OR51e2 beb_11:4702979 7 NA NA
OR51e2 cdx_11:4702979 5 NA NA
OR51e2 ceu_11:4702979 6 NA NA
OR51e2 chb_11:4702979 7 NA NA
OR51e2 chs_11:4702979 12 NA NA
OR51e2 clm_11:4702979 7 NA NA
OR51e2 esn_11:4702979 7 NA NA
OR51e2 fin_11:4702979 7 NA NA
OR51e2 gbr_11:4702979 6 NA NA
OR51e2 gih_11:4702979 8 NA NA
OR51e2 gwd_11:4702979 8 NA NA
OR51e2 ibs_11:4702979 7 NA NA
OR51e2 itu_11:4702979 10 NA NA
OR51e2 jpt_11:4702979 11 NA NA
OR51e2 khv_11:4702979 10 NA NA
OR51e2 lwk_11:4702979 10 NA NA
OR51e2 msl_11:4702979 8 NA NA
OR51e2 mxl_11:4702979 8 NA NA
OR51e2 pel_11:4702979 8 NA NA
OR51e2 pjl_11:4702979 2 NA NA
OR51e2 pur_11:4702979 9 NA NA
OR51e2 stu_11:4702979 8 NA NA
OR51e2 tsi_11:4702979 8 NA NA
OR51e2 yri_11:4702979 7 NA NA
OR56a4 acb_11:6023281 7 NA NA
OR56a4 asw_11:6023281 6 NA NA
OR56a4 beb_11:6023281 6 NA NA
OR56a4 cdx_11:6023281 3 NA NA
OR56a4 ceu_11:6023281 4 NA NA
OR56a4 chb_11:6023281 4 NA NA
OR56a4 chs_11:6023281 6 NA NA
OR56a4 clm_11:6023281 5 NA NA
OR56a4 esn_11:6023281 8 NA NA
OR56a4 fin_11:6023281 6 NA NA
OR56a4 gbr_11:6023281 6 NA NA
OR56a4 gih_11:6023281 5 NA NA
OR56a4 gwd_11:6023281 6 NA NA
OR56a4 ibs_11:6023281 8 NA NA
OR56a4 itu_11:6023281 6 NA NA
OR56a4 jpt_11:6023281 3 NA NA
OR56a4 khv_11:6023281 3 NA NA
OR56a4 lwk_11:6023281 9 NA NA
OR56a4 msl_11:6023281 8 NA NA
OR56a4 mxl_11:6023281 4 NA NA
OR56a4 pel_11:6023281 7 NA NA
OR56a4 pjl_11:6023281 6 NA NA
OR56a4 pur_11:6023281 6 NA NA
OR56a4 stu_11:6023281 6 NA NA
OR56a4 tsi_11:6023281 8 NA NA
OR56a4 yri_11:6023281 7 NA NA
OR5p3 acb_11:7846584 9 NA NA
OR5p3 asw_11:7846584 8 NA NA
OR5p3 beb_11:7846584 8 NA NA
OR5p3 cdx_11:7846584 4 NA NA
OR5p3 ceu_11:7846584 6 NA NA
OR5p3 chb_11:7846584 5 NA NA
OR5p3 chs_11:7846584 7 NA NA
OR5p3 clm_11:7846584 9 NA NA
OR5p3 esn_11:7846584 10 NA NA
OR5p3 fin_11:7846584 4 NA NA
OR5p3 gbr_11:7846584 4 NA NA
OR5p3 gih_11:7846584 7 NA NA
OR5p3 gwd_11:7846584 7 NA NA
OR5p3 ibs_11:7846584 6 NA NA
OR5p3 itu_11:7846584 6 NA NA
OR5p3 jpt_11:7846584 6 NA NA
OR5p3 khv_11:7846584 5 NA NA
OR5p3 lwk_11:7846584 14 NA NA
OR5p3 msl_11:7846584 10 NA NA
OR5p3 mxl_11:7846584 3 NA NA
OR5p3 pel_11:7846584 3 NA NA
OR5p3 pjl_11:7846584 6 NA NA
OR5p3 pur_11:7846584 8 NA NA
OR5p3 stu_11:7846584 7 NA NA
OR5p3 tsi_11:7846584 5 NA NA
OR5p3 yri_11:7846584 11 NA NA
OR6p1 acb_1:158532441 16 NA NA
OR6p1 asw_1:158532441 14 NA NA
OR6p1 beb_1:158532441 6 NA NA
OR6p1 cdx_1:158532441 3 NA NA
OR6p1 ceu_1:158532441 10 NA NA
OR6p1 chb_1:158532441 7 NA NA
OR6p1 chs_1:158532441 7 NA NA
OR6p1 clm_1:158532441 9 NA NA
OR6p1 esn_1:158532441 13 NA NA
OR6p1 fin_1:158532441 6 NA NA
OR6p1 gbr_1:158532441 7 NA NA
OR6p1 gih_1:158532441 4 NA NA
OR6p1 gwd_1:158532441 14 NA NA
OR6p1 ibs_1:158532441 9 NA NA
OR6p1 itu_1:158532441 3 NA NA
OR6p1 jpt_1:158532441 6 NA NA
OR6p1 khv_1:158532441 6 NA NA
OR6p1 lwk_1:158532441 17 NA NA
OR6p1 msl_1:158532441 13 NA NA
OR6p1 mxl_1:158532441 5 NA NA
OR6p1 pel_1:158532441 4 NA NA
OR6p1 pjl_1:158532441 5 NA NA
OR6p1 pur_1:158532441 11 NA NA
OR6p1 stu_1:158532441 6 NA NA
OR6p1 tsi_1:158532441 7 NA NA
OR6p1 yri_1:158532441 17 NA NA
OR7c1 acb_19:14909986 15 NA NA
OR7c1 asw_19:14909986 14 NA NA
OR7c1 beb_19:14909986 9 NA NA
OR7c1 cdx_19:14909986 6 NA NA
OR7c1 ceu_19:14909986 6 NA NA
OR7c1 chb_19:14909986 7 NA NA
OR7c1 chs_19:14909986 7 NA NA
OR7c1 clm_19:14909986 13 NA NA
OR7c1 esn_19:14909986 13 NA NA
OR7c1 fin_19:14909986 6 NA NA
OR7c1 gbr_19:14909986 7 NA NA
OR7c1 gih_19:14909986 8 NA NA
OR7c1 gwd_19:14909986 13 NA NA
OR7c1 ibs_19:14909986 8 NA NA
OR7c1 itu_19:14909986 7 NA NA
OR7c1 jpt_19:14909986 6 NA NA
OR7c1 khv_19:14909986 9 NA NA
OR7c1 lwk_19:14909986 11 NA NA
OR7c1 msl_19:14909986 13 NA NA
OR7c1 mxl_19:14909986 7 NA NA
OR7c1 pel_19:14909986 8 NA NA
OR7c1 pjl_19:14909986 7 NA NA
OR7c1 pur_19:14909986 9 NA NA
OR7c1 stu_19:14909986 9 NA NA
OR7c1 tsi_19:14909986 9 NA NA
OR7c1 yri_19:14909986 13 NA NA
OR7d4 acb_19:9324575 9 NA NA
OR7d4 asw_19:9324575 11 NA NA
OR7d4 beb_19:9324575 6 NA NA
OR7d4 cdx_19:9324575 7 NA NA
OR7d4 ceu_19:9324575 5 NA NA
OR7d4 chb_19:9324575 8 NA NA
OR7d4 chs_19:9324575 7 NA NA
OR7d4 clm_19:9324575 4 NA NA
OR7d4 esn_19:9324575 9 NA NA
OR7d4 fin_19:9324575 5 NA NA
OR7d4 gbr_19:9324575 8 NA NA
OR7d4 gih_19:9324575 10 NA NA
OR7d4 gwd_19:9324575 11 NA NA
OR7d4 ibs_19:9324575 7 NA NA
OR7d4 itu_19:9324575 9 NA NA
OR7d4 jpt_19:9324575 5 NA NA
OR7d4 khv_19:9324575 6 NA NA
OR7d4 lwk_19:9324575 9 NA NA
OR7d4 msl_19:9324575 9 NA NA
OR7d4 mxl_19:9324575 5 NA NA
OR7d4 pel_19:9324575 7 NA NA
OR7d4 pjl_19:9324575 5 NA NA
OR7d4 pur_19:9324575 12 NA NA
OR7d4 stu_19:9324575 6 NA NA
OR7d4 tsi_19:9324575 6 NA NA
OR7d4 yri_19:9324575 11 NA NA
OR8b3 acb_11:124266306 8 NA NA
OR8b3 asw_11:124266306 7 NA NA
OR8b3 beb_11:124266306 6 NA NA
OR8b3 cdx_11:124266306 8 NA NA
OR8b3 ceu_11:124266306 4 NA NA
OR8b3 chb_11:124266306 5 NA NA
OR8b3 chs_11:124266306 7 NA NA
OR8b3 clm_11:124266306 7 NA NA
OR8b3 esn_11:124266306 10 NA NA
OR8b3 fin_11:124266306 4 NA NA
OR8b3 gbr_11:124266306 3 NA NA
OR8b3 gih_11:124266306 5 NA NA
OR8b3 gwd_11:124266306 9 NA NA
OR8b3 ibs_11:124266306 5 NA NA
OR8b3 itu_11:124266306 4 NA NA
OR8b3 jpt_11:124266306 5 NA NA
OR8b3 khv_11:124266306 7 NA NA
OR8b3 lwk_11:124266306 10 NA NA
OR8b3 msl_11:124266306 8 NA NA
OR8b3 mxl_11:124266306 5 NA NA
OR8b3 pel_11:124266306 7 NA NA
OR8b3 pjl_11:124266306 6 NA NA
OR8b3 pur_11:124266306 6 NA NA
OR8b3 stu_11:124266306 5 NA NA
OR8b3 tsi_11:124266306 6 NA NA
OR8b3 yri_11:124266306 8 NA NA
OR8d1 acb_11:124179736 10 NA NA
OR8d1 asw_11:124179736 8 NA NA
OR8d1 beb_11:124179736 8 NA NA
OR8d1 cdx_11:124179736 5 NA NA
OR8d1 ceu_11:124179736 6 NA NA
OR8d1 chb_11:124179736 6 NA NA
OR8d1 chs_11:124179736 5 NA NA
OR8d1 clm_11:124179736 7 NA NA
OR8d1 esn_11:124179736 6 NA NA
OR8d1 fin_11:124179736 7 NA NA
OR8d1 gbr_11:124179736 6 NA NA
OR8d1 gih_11:124179736 9 NA NA
OR8d1 gwd_11:124179736 6 NA NA
OR8d1 ibs_11:124179736 7 NA NA
OR8d1 itu_11:124179736 10 NA NA
OR8d1 jpt_11:124179736 6 NA NA
OR8d1 khv_11:124179736 5 NA NA
OR8d1 lwk_11:124179736 10 NA NA
OR8d1 msl_11:124179736 6 NA NA
OR8d1 mxl_11:124179736 8 NA NA
OR8d1 pel_11:124179736 7 NA NA
OR8d1 pjl_11:124179736 7 NA NA
OR8d1 pur_11:124179736 8 NA NA
OR8d1 stu_11:124179736 8 NA NA
OR8d1 tsi_11:124179736 7 NA NA
OR8d1 yri_11:124179736 5 NA NA
UstIshim NA 28 NA NA
or10g4 acb 20 936 2.13675213675214
or10g4 asw 17 936 1.81623931623932
or10g4 beb 15 936 1.6025641025641
or10g4 cdx 12 936 1.28205128205128
or10g4 ceu 13 936 1.38888888888889
or10g4 chb 13 936 1.38888888888889
or10g4 chs 13 936 1.38888888888889
or10g4 clm 16 936 1.70940170940171
or10g4 esn 21 936 2.24358974358974
or10g4 fin 11 936 1.17521367521368
or10g4 gbr 13 936 1.38888888888889
or10g4 gih 14 936 1.4957264957265
or10g4 gwd 19 936 2.02991452991453
or10g4 ibs 15 936 1.6025641025641
or10g4 itu 17 936 1.81623931623932
or10g4 jpt 13 936 1.38888888888889
or10g4 khv 14 936 1.4957264957265
or10g4 lwk 22 936 2.35042735042735
or10g4 msl 18 936 1.92307692307692
or10g4 mxl 16 936 1.70940170940171
or10g4 pel 15 936 1.6025641025641
or10g4 pjl 15 936 1.6025641025641
or10g4 pur 15 936 1.6025641025641
or10g4 stu 16 936 1.70940170940171
or10g4 tsi 12 936 1.28205128205128
or10g4 yri 20 936 2.13675213675214
or1a1 acb 11 930 1.18279569892473
or1a1 asw 9 930 0.967741935483871
or1a1 beb 8 930 0.860215053763441
or1a1 cdx 6 930 0.645161290322581
or1a1 ceu 9 930 0.967741935483871
or1a1 chb 5 930 0.537634408602151
or1a1 chs 6 930 0.645161290322581
or1a1 clm 9 930 0.967741935483871
or1a1 esn 10 930 1.0752688172043
or1a1 fin 7 930 0.752688172043011
or1a1 gbr 11 930 1.18279569892473
or1a1 gih 11 930 1.18279569892473
or1a1 gwd 11 930 1.18279569892473
or1a1 ibs 8 930 0.860215053763441
or1a1 itu 7 930 0.752688172043011
or1a1 jpt 4 930 0.43010752688172
or1a1 khv 7 930 0.752688172043011
or1a1 lwk 12 930 1.29032258064516
or1a1 msl 10 930 1.0752688172043
or1a1 mxl 9 930 0.967741935483871
or1a1 pel 6 930 0.645161290322581
or1a1 pjl 10 930 1.0752688172043
or1a1 pur 11 930 1.18279569892473
or1a1 stu 9 930 0.967741935483871
or1a1 tsi 8 930 0.860215053763441
or1a1 yri 9 930 0.967741935483871
or2a25 acb 7 933 0.7502679528403
or2a25 asw 9 933 0.964630225080386
or2a25 beb 5 933 0.535905680600214
or2a25 cdx 4 933 0.428724544480171
or2a25 ceu 5 933 0.535905680600214
or2a25 chb 8 933 0.857449088960343
or2a25 chs 5 933 0.535905680600214
or2a25 clm 8 933 0.857449088960343
or2a25 esn 6 933 0.643086816720257
or2a25 fin 4 933 0.428724544480171
or2a25 gbr 5 933 0.535905680600214
or2a25 gih 5 933 0.535905680600214
or2a25 gwd 9 933 0.964630225080386
or2a25 ibs 7 933 0.7502679528403
or2a25 itu 4 933 0.428724544480171
or2a25 jpt 6 933 0.643086816720257
or2a25 khv 5 933 0.535905680600214
or2a25 lwk 9 933 0.964630225080386
or2a25 msl 10 933 1.07181136120043
or2a25 mxl 7 933 0.7502679528403
or2a25 pel 5 933 0.535905680600214
or2a25 pjl 4 933 0.428724544480171
or2a25 pur 7 933 0.7502679528403
or2a25 stu 5 933 0.535905680600214
or2a25 tsi 6 933 0.643086816720257
or2a25 yri 7 933 0.7502679528403
or2c1 acb 10 939 1.06496272630458
or2c1 asw 9 939 0.958466453674121
or2c1 beb 7 939 0.745473908413206
or2c1 cdx 9 939 0.958466453674121
or2c1 ceu 7 939 0.745473908413206
or2c1 chb 9 939 0.958466453674121
or2c1 chs 8 939 0.851970181043664
or2c1 clm 8 939 0.851970181043664
or2c1 esn 12 939 1.2779552715655
or2c1 fin 8 939 0.851970181043664
or2c1 gbr 8 939 0.851970181043664
or2c1 gih 8 939 0.851970181043664
or2c1 gwd 11 939 1.17145899893504
or2c1 ibs 10 939 1.06496272630458
or2c1 itu 8 939 0.851970181043664
or2c1 jpt 6 939 0.638977635782748
or2c1 khv 6 939 0.638977635782748
or2c1 lwk 12 939 1.2779552715655
or2c1 msl 10 939 1.06496272630458
or2c1 mxl 7 939 0.745473908413206
or2c1 pel 12 939 1.2779552715655
or2c1 pjl 10 939 1.06496272630458
or2c1 pur 10 939 1.06496272630458
or2c1 stu 8 939 0.851970181043664
or2c1 tsi 8 939 0.851970181043664
or2c1 yri 13 939 1.38445154419595
or2j2 acb 13 939 1.38445154419595
or2j2 asw 10 939 1.06496272630458
or2j2 beb 12 939 1.2779552715655
or2j2 cdx 7 939 0.745473908413206
or2j2 ceu 10 939 1.06496272630458
or2j2 chb 9 939 0.958466453674121
or2j2 chs 9 939 0.958466453674121
or2j2 clm 11 939 1.17145899893504
or2j2 esn 10 939 1.06496272630458
or2j2 fin 11 939 1.17145899893504
or2j2 gbr 10 939 1.06496272630458
or2j2 gih 9 939 0.958466453674121
or2j2 gwd 13 939 1.38445154419595
or2j2 ibs 12 939 1.2779552715655
or2j2 itu 8 939 0.851970181043664
or2j2 jpt 9 939 0.958466453674121
or2j2 khv 10 939 1.06496272630458
or2j2 lwk 11 939 1.17145899893504
or2j2 msl 10 939 1.06496272630458
or2j2 mxl 8 939 0.851970181043664
or2j2 pel 9 939 0.958466453674121
or2j2 pjl 9 939 0.958466453674121
or2j2 pur 9 939 0.958466453674121
or2j2 stu 8 939 0.851970181043664
or2j2 tsi 12 939 1.2779552715655
or2j2 yri 12 939 1.2779552715655
or2j3 acb 8 936 0.854700854700855
or2j3 asw 8 936 0.854700854700855
or2j3 beb 8 936 0.854700854700855
or2j3 cdx 6 936 0.641025641025641
or2j3 ceu 6 936 0.641025641025641
or2j3 chb 6 936 0.641025641025641
or2j3 chs 5 936 0.534188034188034
or2j3 clm 6 936 0.641025641025641
or2j3 esn 8 936 0.854700854700855
or2j3 fin 6 936 0.641025641025641
or2j3 gbr 5 936 0.534188034188034
or2j3 gih 9 936 0.961538461538462
or2j3 gwd 7 936 0.747863247863248
or2j3 ibs 6 936 0.641025641025641
or2j3 itu 9 936 0.961538461538462
or2j3 jpt 4 936 0.427350427350427
or2j3 khv 6 936 0.641025641025641
or2j3 lwk 10 936 1.06837606837607
or2j3 msl 12 936 1.28205128205128
or2j3 mxl 6 936 0.641025641025641
or2j3 pel 5 936 0.534188034188034
or2j3 pjl 11 936 1.17521367521368
or2j3 pur 6 936 0.641025641025641
or2j3 stu 9 936 0.961538461538462
or2j3 tsi 7 936 0.747863247863248
or2j3 yri 9 936 0.961538461538462
or4e2 acb 9 942 0.955414012738854
or4e2 asw 8 942 0.849256900212314
or4e2 beb 8 942 0.849256900212314
or4e2 cdx 4 942 0.424628450106157
or4e2 ceu 9 942 0.955414012738854
or4e2 chb 5 942 0.530785562632696
or4e2 chs 6 942 0.636942675159236
or4e2 clm 7 942 0.743099787685775
or4e2 esn 5 942 0.530785562632696
or4e2 fin 5 942 0.530785562632696
or4e2 gbr 5 942 0.530785562632696
or4e2 gih 6 942 0.636942675159236
or4e2 gwd 8 942 0.849256900212314
or4e2 ibs 4 942 0.424628450106157
or4e2 itu 5 942 0.530785562632696
or4e2 jpt 5 942 0.530785562632696
or4e2 khv 4 942 0.424628450106157
or4e2 lwk 8 942 0.849256900212314
or4e2 msl 7 942 0.743099787685775
or4e2 mxl 6 942 0.636942675159236
or4e2 pel 7 942 0.743099787685775
or4e2 pjl 5 942 0.530785562632696
or4e2 pur 9 942 0.955414012738854
or4e2 stu 4 942 0.424628450106157
or4e2 tsi 7 942 0.743099787685775
or4e2 yri 8 942 0.849256900212314
or4q3 acb 15 942 1.59235668789809
or4q3 asw 6 942 0.636942675159236
or4q3 beb 8 942 0.849256900212314
or4q3 cdx 9 942 0.955414012738854
or4q3 ceu 8 942 0.849256900212314
or4q3 chb 6 942 0.636942675159236
or4q3 chs 7 942 0.743099787685775
or4q3 clm 6 942 0.636942675159236
or4q3 esn 8 942 0.849256900212314
or4q3 fin 8 942 0.849256900212314
or4q3 gbr 8 942 0.849256900212314
or4q3 gih 8 942 0.849256900212314
or4q3 gwd 8 942 0.849256900212314
or4q3 ibs 10 942 1.06157112526539
or4q3 itu 7 942 0.743099787685775
or4q3 jpt 7 942 0.743099787685775
or4q3 khv 8 942 0.849256900212314
or4q3 lwk 14 942 1.48619957537155
or4q3 msl 9 942 0.955414012738854
or4q3 mxl 4 942 0.424628450106157
or4q3 pel 7 942 0.743099787685775
or4q3 pjl 8 942 0.849256900212314
or4q3 pur 7 942 0.743099787685775
or4q3 stu 8 942 0.849256900212314
or4q3 tsi 5 942 0.530785562632696
or4q3 yri 9 942 0.955414012738854
or51e1 acb_11:4673757 2 957 0.208986415882968
or51e1 asw_11:4673757 2 957 0.208986415882968
or51e1 beb_11:4673757 6 957 0.626959247648903
or51e1 cdx_11:4673757 3 957 0.313479623824451
or51e1 ceu_11:4673757 5 957 0.522466039707419
or51e1 chb_11:4673757 5 957 0.522466039707419
or51e1 chs_11:4673757 3 957 0.313479623824451
or51e1 clm_11:4673757 4 957 0.417972831765935
or51e1 esn_11:4673757 3 957 0.313479623824451
or51e1 fin_11:4673757 7 957 0.731452455590387
or51e1 gbr_11:4673757 4 957 0.417972831765935
or51e1 gih_11:4673757 6 957 0.626959247648903
