Population n
mxl_11:123908773 1
mxl_11:124179736 1
mxl_11:124266306 1
mxl_11:4673757 1
mxl_11:4702979 1
mxl_11:5020213 1
mxl_11:6023281 1
mxl_11:7846584 1
mxl_11:7949265 1
mxl_14:22037934 1
mxl_19:14909986 1
mxl_19:9324575 1
mxl_1:158532441 1
mxl_1:159504868 1
mxl_1:247614331 1
mxl_1:247920764 1
mxl_6:29011990 1
mxl_6:29394471 1
pel 12
pel_11:123908773 1
pel_11:124179736 1
pel_11:124266306 1
pel_11:4673757 1
pel_11:4702979 1
pel_11:5020213 1
pel_11:6023281 1
pel_11:7846584 1
pel_11:7949265 1
pel_14:22037934 1
pel_19:14909986 1
pel_19:9324575 1
pel_1:158532441 1
pel_1:159504868 1
pel_1:247614331 1
pel_1:247920764 1
pel_6:29011990 1
pel_6:29394471 1
pjl 12
pjl_11:123908773 1
pjl_11:124179736 1
pjl_11:124266306 1
pjl_11:4673757 1
pjl_11:4702979 1
pjl_11:5020213 1
pjl_11:6023281 1
pjl_11:7846584 1
pjl_11:7949265 1
pjl_14:22037934 1
pjl_19:14909986 1
pjl_19:9324575 1
pjl_1:158532441 1
pjl_1:159504868 1
pjl_1:247614331 1
pjl_1:247920764 1
pjl_6:29011990 1
pjl_6:29394471 1
pur 12
pur_11:123908773 1
pur_11:124179736 1
pur_11:124266306 1
pur_11:4673757 1
pur_11:4702979 1
pur_11:5020213 1
pur_11:6023281 1
pur_11:7846584 1
pur_11:7949265 1
pur_14:22037934 1
pur_19:14909986 1
pur_19:9324575 1
pur_1:158532441 1
pur_1:159504868 1
pur_1:247614331 1
pur_1:247920764 1
pur_6:29011990 1
pur_6:29394471 1
stu 12
stu_11:123908773 1
stu_11:124179736 1
stu_11:124266306 1
stu_11:4673757 1
stu_11:4702979 1
stu_11:5020213 1
stu_11:6023281 1
stu_11:7846584 1
stu_11:7949265 1
stu_14:22037934 1
stu_19:14909986 1
stu_19:9324575 1
stu_1:158532441 1
stu_1:159504868 1
stu_1:247614331 1
stu_1:247920764 1
stu_6:29011990 1
stu_6:29394471 1
tsi 12
tsi_11:123908773 1
tsi_11:124179736 1
tsi_11:124266306 1
tsi_11:4673757 1
tsi_11:4702979 1
tsi_11:5020213 1
tsi_11:6023281 1
tsi_11:7846584 1
tsi_11:7949265 1
tsi_14:22037934 1
tsi_19:14909986 1
tsi_19:9324575 1
tsi_1:158532441 1
tsi_1:159504868 1
tsi_1:247614331 1
tsi_1:247920764 1
tsi_6:29011990 1
tsi_6:29394471 1
yri 12
yri_11:123908773 1
yri_11:124179736 1
yri_11:124266306 1
yri_11:4673757 1
yri_11:4702979 1
yri_11:5020213 1
yri_11:6023281 1
yri_11:7846584 1
yri_11:7949265 1
yri_14:22037934 1
yri_19:14909986 1
yri_19:9324575 1
yri_1:158532441 1
yri_1:159504868 1
yri_1:247614331 1
yri_1:247920764 1
yri_6:29011990 1
yri_6:29394471 1
NA 5
