Population name
lwk_1:159504868 NA
lwk_1:247614331 NA
lwk_1:247920764 NA
lwk_6:29011990 NA
lwk_6:29394471 NA
msl 1.04033228228076
msl_11:123908773 NA
msl_11:124179736 NA
msl_11:124266306 NA
msl_11:4673757 0.208986415882968
msl_11:4702979 NA
msl_11:5020213 0.949367088607595
msl_11:6023281 NA
msl_11:7846584 NA
msl_11:7949265 NA
msl_14:22037934 NA
msl_19:14909986 NA
msl_19:9324575 NA
msl_1:158532441 NA
msl_1:159504868 NA
msl_1:247614331 NA
msl_1:247920764 NA
msl_6:29011990 NA
msl_6:29394471 NA
mxl 0.702372022604738
mxl_11:123908773 NA
mxl_11:124179736 NA
mxl_11:124266306 NA
mxl_11:4673757 0.313479623824451
mxl_11:4702979 NA
mxl_11:5020213 0.949367088607595
mxl_11:6023281 NA
mxl_11:7846584 NA
mxl_11:7949265 NA
mxl_14:22037934 NA
mxl_19:14909986 NA
mxl_19:9324575 NA
mxl_1:158532441 NA
mxl_1:159504868 NA
mxl_1:247614331 NA
mxl_1:247920764 NA
mxl_6:29011990 NA
mxl_6:29394471 NA
pel 0.746517749745413
pel_11:123908773 NA
pel_11:124179736 NA
pel_11:124266306 NA
pel_11:4673757 0.626959247648903
pel_11:4702979 NA
pel_11:5020213 0.632911392405063
pel_11:6023281 NA
pel_11:7846584 NA
pel_11:7949265 NA
pel_14:22037934 NA
pel_19:14909986 NA
pel_19:9324575 NA
pel_1:158532441 NA
pel_1:159504868 NA
pel_1:247614331 NA
pel_1:247920764 NA
pel_6:29011990 NA
pel_6:29394471 NA
pjl 0.826591959598695
pjl_11:123908773 NA
pjl_11:124179736 NA
pjl_11:124266306 NA
pjl_11:4673757 0.417972831765935
pjl_11:4702979 NA
pjl_11:5020213 0.632911392405063
pjl_11:6023281 NA
pjl_11:7846584 NA
pjl_11:7949265 NA
pjl_14:22037934 NA
pjl_19:14909986 NA
pjl_19:9324575 NA
pjl_1:158532441 NA
pjl_1:159504868 NA
pjl_1:247614331 NA
pjl_1:247920764 NA
pjl_6:29011990 NA
pjl_6:29394471 NA
pur 0.862606595039377
pur_11:123908773 NA
pur_11:124179736 NA
pur_11:124266306 NA
pur_11:4673757 0.522466039707419
pur_11:4702979 NA
pur_11:5020213 0.949367088607595
pur_11:6023281 NA
pur_11:7846584 NA
pur_11:7949265 NA
pur_14:22037934 NA
pur_19:14909986 NA
pur_19:9324575 NA
pur_1:158532441 NA
pur_1:159504868 NA
pur_1:247614331 NA
pur_1:247920764 NA
pur_6:29011990 NA
pur_6:29394471 NA
stu 0.764325257878463
stu_11:123908773 NA
stu_11:124179736 NA
stu_11:124266306 NA
stu_11:4673757 0.522466039707419
stu_11:4702979 NA
stu_11:5020213 0.527426160337553
stu_11:6023281 NA
stu_11:7846584 NA
stu_11:7949265 NA
stu_14:22037934 NA
stu_19:14909986 NA
stu_19:9324575 NA
stu_1:158532441 NA
stu_1:159504868 NA
stu_1:247614331 NA
stu_1:247920764 NA
stu_6:29011990 NA
stu_6:29394471 NA
tsi 0.737787284767885
tsi_11:123908773 NA
tsi_11:124179736 NA
tsi_11:124266306 NA
tsi_11:4673757 0.626959247648903
tsi_11:4702979 NA
tsi_11:5020213 0.738396624472574
tsi_11:6023281 NA
tsi_11:7846584 NA
tsi_11:7949265 NA
tsi_14:22037934 NA
tsi_19:14909986 NA
tsi_19:9324575 NA
tsi_1:158532441 NA
tsi_1:159504868 NA
tsi_1:247614331 NA
tsi_1:247920764 NA
tsi_6:29011990 NA
tsi_6:29394471 NA
yri 1.08493570560986
yri_11:123908773 NA
yri_11:124179736 NA
yri_11:124266306 NA
yri_11:4673757 0.313479623824451
yri_11:4702979 NA
yri_11:5020213 1.16033755274262
yri_11:6023281 NA
yri_11:7846584 NA
yri_11:7949265 NA
yri_14:22037934 NA
yri_19:14909986 NA
yri_19:9324575 NA
yri_1:158532441 NA
yri_1:159504868 NA
yri_1:247614331 NA
yri_1:247920764 NA
yri_6:29011990 NA
yri_6:29394471 NA
NA NA
