Population n
msl_14:22133297 1
msl_16:3405941 1
msl_17:3118915 1
msl_19:14909986 1
msl_19:9324575 1
msl_1:158532441 1
msl_1:159504868 1
msl_1:247614331 1
msl_1:247920764 1
msl_3:98188421 1
msl_6:29011990 1
msl_6:29079668 1
msl_6:29141413 1
msl_6:29394471 1
msl_7:143771313 1
mxl_11:123886282 1
mxl_11:123908773 1
mxl_11:124179736 1
mxl_11:124266306 1
mxl_11:4673757 1
mxl_11:4702979 1
mxl_11:5020213 1
mxl_11:56085783 1
mxl_11:59131932 1
mxl_11:59210642 1
mxl_11:6023281 1
mxl_11:7949265 1
mxl_14:20215587 1
mxl_14:22037934 1
mxl_14:22133297 1
mxl_16:3405941 1
mxl_17:3118915 1
mxl_19:14909986 1
mxl_19:9324575 1
mxl_1:158532441 1
mxl_1:159504868 1
mxl_1:247614331 1
mxl_3:98188421 1
mxl_6:29011990 1
mxl_6:29079668 1
mxl_6:29141413 1
mxl_6:29394471 1
mxl_7:143771313 1
pel_11:123886282 1
pel_11:123908773 1
pel_11:124179736 1
pel_11:124266306 1
pel_11:4673757 1
pel_11:4702979 1
pel_11:5020213 1
pel_11:56085783 1
pel_11:59131932 1
pel_11:59210642 1
pel_11:6023281 1
pel_11:7949265 1
pel_14:20215587 1
pel_14:22037934 1
pel_14:22133297 1
pel_16:3405941 1
pel_17:3118915 1
pel_19:14909986 1
pel_19:9324575 1
pel_1:158532441 1
pel_1:159504868 1
pel_1:247614331 1
pel_1:247920764 1
pel_3:98188421 1
pel_6:29011990 1
pel_6:29079668 1
pel_6:29141413 1
pel_6:29394471 1
pel_7:143771313 1
pjl_11:123886282 1
pjl_11:123908773 1
pjl_11:124179736 1
pjl_11:124266306 1
pjl_11:4673757 1
pjl_11:4702979 1
pjl_11:5020213 1
pjl_11:56085783 1
pjl_11:59131932 1
pjl_11:59210642 1
pjl_11:6023281 1
pjl_11:7846584 1
pjl_11:7949265 1
pjl_14:20215587 1
pjl_14:22037934 1
pjl_14:22133297 1
pjl_16:3405941 1
pjl_17:3118915 1
pjl_19:14909986 1
pjl_19:9324575 1
pjl_1:158532441 1
pjl_1:159504868 1
pjl_1:247614331 1
pjl_1:247920764 1
pjl_3:98188421 1
pjl_6:29011990 1
pjl_6:29079668 1
pjl_6:29141413 1
pjl_6:29394471 1
pjl_7:143771313 1
pur_11:123886282 1
pur_11:123908773 1
pur_11:124179736 1
pur_11:124266306 1
pur_11:4673757 1
pur_11:4702979 1
pur_11:5020213 1
pur_11:56085783 1
pur_11:59131932 1
pur_11:59210642 1
pur_11:6023281 1
pur_11:7846584 1
pur_11:7949265 1
pur_14:20215587 1
pur_14:22037934 1
pur_14:22133297 1
pur_16:3405941 1
pur_17:3118915 1
pur_19:14909986 1
pur_19:9324575 1
pur_1:158532441 1
pur_1:159504868 1
pur_1:247614331 1
pur_1:247920764 1
pur_3:98188421 1
pur_6:29011990 1
pur_6:29079668 1
pur_6:29141413 1
pur_6:29394471 1
pur_7:143771313 1
stu_11:123886282 1
stu_11:123908773 1
stu_11:124179736 1
stu_11:124266306 1
stu_11:4673757 1
stu_11:4702979 1
stu_11:5020213 1
stu_11:56085783 1
stu_11:59131932 1
stu_11:59210642 1
stu_11:6023281 1
stu_11:7846584 1
stu_11:7949265 1
stu_14:20215587 1
stu_14:22037934 1
stu_14:22133297 1
stu_16:3405941 1
stu_17:3118915 1
stu_19:14909986 1
stu_19:9324575 1
stu_1:158532441 1
stu_1:159504868 1
stu_1:247614331 1
stu_1:247920764 1
stu_3:98188421 1
stu_6:29011990 1
stu_6:29079668 1
stu_6:29141413 1
stu_6:29394471 1
stu_7:143771313 1
tsi_11:123886282 1
tsi_11:123908773 1
tsi_11:124179736 1
tsi_11:124266306 1
tsi_11:4673757 1
tsi_11:4702979 1
tsi_11:5020213 1
tsi_11:56085783 1
tsi_11:59131932 1
tsi_11:59210642 1
tsi_11:6023281 1
tsi_11:7846584 1
tsi_11:7949265 1
tsi_14:20215587 1
tsi_14:22037934 1
tsi_14:22133297 1
tsi_16:3405941 1
tsi_17:3118915 1
tsi_19:14909986 1
tsi_19:9324575 1
tsi_1:158532441 1
tsi_1:159504868 1
tsi_1:247614331 1
tsi_1:247920764 1
tsi_3:98188421 1
tsi_6:29011990 1
tsi_6:29079668 1
tsi_6:29141413 1
tsi_6:29394471 1
tsi_7:143771313 1
yri_11:123886282 1
yri_11:123908773 1
yri_11:124179736 1
yri_11:124266306 1
yri_11:4673757 1
yri_11:4702979 1
yri_11:5020213 1
yri_11:56085783 1
yri_11:59131932 1
yri_11:59210642 1
yri_11:6023281 1
yri_11:7846584 1
yri_11:7949265 1
yri_14:20215587 1
yri_14:22037934 1
yri_14:22133297 1
yri_16:3405941 1
yri_17:3118915 1
yri_19:14909986 1
yri_19:9324575 1
yri_1:158532441 1
yri_1:159504868 1
yri_1:247614331 1
yri_1:247920764 1
yri_3:98188421 1
yri_6:29011990 1
yri_6:29079668 1
yri_6:29141413 1
yri_6:29394471 1
yri_7:143771313 1
